DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST,DEP_TIME,DEP_DEL15,DEP_TIME_BLK,ARR_TIME,ARR_DEL15,CANCELLED,DIVERTED,DISTANCE,Unnamed: 21
24,4,OH,20397,OH,N513AE,5582,14814,1481402,SHV,11057,1105703,CLT,1350.0,0.0,1300-1359,1643.0,0.0,0.0,0.0,764.0,
20,7,UA,19977,UA,N12218,2296,13303,1330303,MIA,11292,1129202,DEN,1449.0,1.0,1400-1459,1728.0,1.0,0.0,0.0,1709.0,
20,7,WN,19393,WN,N781WN,2771,11278,1127805,DCA,15016,1501606,STL,1904.0,1.0,1800-1859,2008.0,0.0,0.0,0.0,719.0,
29,2,AA,19805,AA,N853NN,1088,14492,1449202,RDU,13303,1330303,MIA,652.0,0.0,0700-0759,910.0,0.0,0.0,0.0,700.0,
17,4,WN,19393,WN,N482WN,2152,10397,1039707,ATL,13495,1349505,MSY,1041.0,0.0,1000-1059,1120.0,0.0,0.0,0.0,425.0,
15,2,WN,19393,WN,N938WN,45,11292,1129202,DEN,11259,1125904,DAL,1354.0,0.0,1300-1359,1637.0,0.0,0.0,0.0,651.0,
2,3,9E,20363,9E,N8908D,3313,13277,1327702,MGM,10397,1039707,ATL,552.0,0.0,0600-0659,746.0,0.0,0.0,0.0,147.0,
25,5,AA,19805,AA,N949UW,1991,10397,1039707,ATL,14100,1410005,PHL,1854.0,1.0,1800-1859,2044.0,1.0,0.0,0.0,666.0,
2,3,G4,20368,G4,254NV,2128,14761,1476106,SFB,15919,1591904,XNA,604.0,0.0,0600-0659,739.0,0.0,0.0,0.0,920.0,
15,2,MQ,20398,MQ,N843AE,4050,14492,1449202,RDU,12953,1295304,LGA,737.0,0.0,0700-0759,935.0,0.0,0.0,0.0,431.0,
25,5,DL,19790,DL,N978DL,1867,10397,1039707,ATL,13244,1324402,MEM,1756.0,0.0,1700-1759,1813.0,0.0,0.0,0.0,332.0,
21,1,B6,20409,B6,N969JB,15,12478,1247805,JFK,14771,1477104,SFO,,,0700-0759,,,1.0,0.0,2586.0,
26,6,9E,20363,9E,N138EV,3331,11433,1143302,DTW,12339,1233904,IND,831.0,0.0,0800-0859,941.0,0.0,0.0,0.0,231.0,
5,6,OO,20304,OO,N789SK,5895,12892,1289208,LAX,10372,1037205,ASE,1019.0,1.0,0900-0959,1416.0,1.0,0.0,0.0,737.0,
6,7,AA,19805,AA,N568UW,501,12892,1289208,LAX,12889,1288903,LAS,1647.0,0.0,1600-1659,1748.0,0.0,0.0,0.0,236.0,
9,3,DL,19790,DL,N874DN,887,10397,1039707,ATL,14057,1405702,PDX,1623.0,0.0,1600-1659,1844.0,0.0,0.0,0.0,2172.0,
